,city,lat,lng,country,Temperature (F),Cloudiness %,Wind Speed (mph),Humidity %
316,Wichita,37.71998313,-97.32998702,United States of America,9.13,75,6.2,71
317,Brno,49.20039349,16.60998328,Czech Republic,2.79,90,4.1,60
318,Tver,56.85997764,35.88999508,Russia,1.26,76,8.59,88
319,Toledo,41.67002626,-83.57997359,United States of America,27,90,6.2,74
320,Santa Fe,-31.62387205,-60.69000126,Argentina,20.76,0,5.19,44
321,Buraydah,26.36638674,43.96283565,Saudi Arabia,30,75,2.6,20
322,Ndola,-12.99994424,28.65002356,Zambia,23.46,44,2.79,69
323,Vina del Mar,-33.02998777,-71.53998499,Chile,22.72,0,5.1,17
324,Quetzaltenango,14.82995913,-91.52000574,Guatemala,32,20,3.1,49
325,Awka,6.210433572,7.06999711,Nigeria,29.51,24,1.59,69
326,Oujda,34.69001304,-1.9099715590000002,Morocco,12,75,4.1,87
328,Ibague,4.438913797,-75.2322144,Colombia,27.55,40,3.1,61
329,Mariupol,47.09618085,37.55619828,Ukraine,-3.29,64,0.14,100
330,Knoxville,35.97001243,-83.92003036,United States of America,11.03,90,3.1,76
331,Kolwezi,-10.71672443,25.47243974,Congo (Kinshasa),20.64,8,2.29,87
332,Bamenda,5.959983743,10.15001583,Cameroon,19.14,76,0.99,90
333,Freetown,8.470011412,-13.23421574,Sierra Leone,25,75,3.6,61
334,Dhule,20.89997622,74.76999914,India,22.91,0,1.89,41
335,Chaozhou,23.68003908,116.630028,China,17,0,1,82
336,Bryansk,53.25999066,34.42998083,Russia,-0.99,36,5.99,88
337,Likasi,-10.970042300000001,26.7800085,Congo (Kinshasa),21.51,24,1.89,90
338,Xalapa,19.52998232,-96.91998621,Mexico,25.76,0,1.21,41
339,Herat,34.33000917,62.16999304,Afghanistan,20,0,1.5,19
340,Chaoyang,41.55042116,120.41997759999998,China,12.26,0,5.56,36
341,Ado Ekiti,7.630372741,5.219980833999999,Nigeria,23.86,24,1.79,90
342,Iquitos,-3.7500178839999996,-73.25000981,Peru,34,40,1.5,52
343,Matamoros,25.87998232,-97.50000248,Mexico,29.62,40,6.7,54
344,Kirov,58.59005292,49.66998083,Russia,-2.62,92,7.89,91
345,Butterworth,5.4170711460000005,100.40001090000001,Malaysia,27.56,75,3.76,88
346,Edinburgh,55.94832786,-3.219090618,United Kingdom,7.69,20,3.6,65
347,Irbid,32.54998863,35.84999752,Jordan,15,0,1.39,41
348,Sao Jose dos Pinhais,-25.57002968,-49.18000615,Brazil,20.1,75,3.6,88
349,Nagano,36.64999676,138.1700052,Japan,-5.62,0,0.79,69
350,Tula,54.19995913,37.62994055,Russia,-1.72,24,6.76,89
351,Ife,7.480433572000001,4.560021117,Nigeria,27.46,56,1.46,78
352,Catania,37.49997072,15.07999914,Italy,10.05,75,4.6,81
353,Rochester,43.17042564,-77.61994979,United States of America,3.38,90,4.1,32
354,Albany,42.67001691,-73.81994918,United States of America,3.19,75,3.1,44
355,Saharanpur,29.97001691,77.55003617,India,19.91,8,3.74,54
356,Matola,-25.96959186,32.46002356,Mozambique,29,40,4.1,79
357,Xinyu,27.80002016,114.92997679999999,China,13.21,88,1.29,100
358,Siliguri,26.72042198,88.45500362,India,14.91,20,0.81,81
359,Al Hufuf,25.3487486,49.58559322,Saudi Arabia,27,0,2.1,14
360,Ribeirao Preto,-21.17003986,-47.82998519,Brazil,32,40,2.6,40
361,Siping,43.17001223,124.33002320000001,China,9.69,0,6.74,48
362,Guntur,16.32999676,80.4500142,India,25.29,8,2.74,86
364,Yangzhou,32.39999778,119.4300122,China,9.69,12,1.04,85
365,Zaragoza,41.65000165,-0.8899821379999999,Spain,10.31,40,7.7,58
367,Mar del Plata,-38.00002033,-57.57998438,Argentina,16.96,92,5.56,51
368,Surakarta,-7.5649788220000005,110.8250077,Indonesia,21.41,68,1.06,97
369,Kayseri,38.73495994,35.49001949,Turkey,11,75,1.5,53
370,Malegaon,20.5603587,74.52500118,India,23.69,20,3.04,32
371,Tarsus,36.920393700000005,34.87997921,Turkey,16,40,2.1,72
372,Urmia,37.52999473,44.99998165,Iran,12,0,4.1,30
373,Aracaju,-10.90002073,-37.11996708,Brazil,30,40,5.7,62
374,At Taif,21.26222801,40.38227901,Saudi Arabia,28.81,0,6.2,33
375,Ogbomosho,8.130006326,4.239988972,Nigeria,30.66,92,1.51,61
376,Hamhung,39.91005617,127.54543410000001,North Korea,-1.19,0,0.89,72
377,Poznan,52.4057534,16.89993974,Poland,0.01,0,5.76,82
378,Shaoxing,30.00037681,120.5700459,China,15,0,1,82
379,Namangan,41.00001548,71.66998165,Uzbekistan,17,64,2.1,48
380,Cardiff,51.49999473,-3.22500757,United Kingdom,9.02,56,5.1,81
381,Belgaum,15.86501223,74.50500240000001,India,22.01,56,0.76,78
382,Izhevsk,56.85002993,53.23002193,Russia,-5.29,56,4.51,74
383,Krasnoyarsk,56.01398277,92.86600053,Russia,-3,75,1,86
384,Morelia,19.73338076,-101.189493,Mexico,25,5,0.89,33
385,Jhansi,25.45295412,78.55746822,India,19.16,0,1.06,38
387,San Jose,9.93501243,-84.08405135,Costa Rica,18.31,0,1.39,89
388,Omaha,41.24000083,-96.00999007,United States of America,1.99,90,7.7,100
389,Sokoto,13.06001548,5.240031289,Nigeria,31.11,48,1.71,32
390,Shiyan,32.57003908,110.77999750000001,China,7.69,0,0.94,91
391,Ipoh,4.599989236,101.0649833,Malaysia,26,75,1.69,88
392,Vientiane,17.96669273,102.59998,Laos,20.71,36,0.59,97
393,Jeonju,35.83141624,127.1403942,South Korea,5,90,1.14,100
394,Warri,5.519958922000001,5.759999551,Nigeria,28.41,8,3.16,71
395,Shizuoka,34.98583478,138.3853926,Japan,12.01,0,2.11,100
